Species.name,Start,End,Zone start,Zone end,Zone start ref,Zone end ref,Timescale,Start.Date.reference,End.Date.reference
Acarinina africana,55.4,55.3,E2,E2,Aze,Aze,CK95,Berggren et al (2006a),Berggren et al (2006a)
Acarinina alticonica,53.2,47,E4,E7b,Aze,Aze,CK95,Berggren et al (2006a),Berggren et al (2006a)
Acarinina angulosa,55.7,46.4,P5,E7b,Aze,Aze,CK95,Berggren et al (2006a),Berggren et al (2006a)
Acarinina aspensis,50.4,48.7,E7a,E7b,Aze,Aze,CK95,Berggren et al (2006a),Berggren et al (2006a)
Acarinina boudreauxi,49.8,43.7,E7a,E9,Aze,Aze,CK95,Berggren et al (2006a),Berggren et al (2006a)
Acarinina bullbrooki,49,40.5,E7b,E11,Aze,Aze,CK95,Berggren et al (2006a),Berggren et al (2006a)
Acarinina coalingensis,56.5,50.1,P4c,E7a,Aze,Aze,CK95,Berggren et al (1999),Berggren et al (1999)
Acarinina collactea,50.4,24.2,E7a,O7,OA,OA,CK95,Wade stratigraphic range dates (2018),Wade and Hernitz Kucenjak (2018)
Acarinina cuneicamerata,50.4,44,E7a,E9,Wade,Aze,CK95,Berggren et al (2006a),Berggren et al (2006a)
Acarinina echinata,43.4,28.95,E10,O4,OA,OA,CK95,Wade stratigraphic range dates (2018),Wade and Hernitz Kucenjak (2018)
Acarinina esnaensis,56.3,51.2,P4c,E5,Aze,Aze,CK95,Berggren et al (2006a),Berggren et al (2006a)
Acarinina esnehensis,55.8,50.4,P5,E6,Aze,Aze,CK95,Berggren et al (2006a),Berggren et al (2006a)
Acarinina interposita,54,50.4,E4,E6,Aze,Aze,CK95,Berggren et al (2006a),Berggren et al (2006a)
Acarinina mcgowrani,49.25,38,E7a,E13,Aze,Aze,CK95,Berggren et al (2006a),Berggren et al (2006a)
Acarinina mckannai,59.25,56.3,P4a,P4c,Aze,Aze,CK95,Berggren et al (1999),Berggren et al (1999)
Acarinina medizzai,42.5,28.65,E10,O4,OA,OA,CK95,Wade stratigraphic range dates (2018),Wade and Hernitz Kucenjak (2018)
Acarinina nitida,59.5,56.2,P3b,P4c,Aze,Aze,CK95,Berggren et al (1999),Berggren et al (1999)
Acarinina pentacamerata,52.3,47,E5,E7b,Aze,Aze,CK95,Berggren et al (2006a),Berggren et al (2006a)
Acarinina praetopilensis,48.7,40,E7b,E12,Aze,Aze,CK95,Berggren et al (2006a),Berggren et al (2006a)
Acarinina primitiva,50.8,38.8,E6,E13,Aze,Aze,CK95,Berggren et al (2006a),Berggren et al (2006a)
Acarinina pseudosubsphaerica,50.4,42.3,E7a,E10,Aze,Aze,CK95,Berggren et al (2006a),Berggren et al (2006a)
Acarinina pseudotopilensis,55.5,47.25,E1,E7b,Aze,Aze,CK95,Berggren et al (2006a),Berggren et al (2006a)
Acarinina punctocarinata,47,40.5,E7b,E11,Aze,Aze,CK95,Berggren et al (2006a),Berggren et al (2006a)
Acarinina quetra,54,50.4,E4,E6,Aze,Aze,CK95,Berggren et al (2006a),Berggren et al (2006a)
Acarinina rohri,42.8,38.2,E10,E13,Aze,Aze,CK95,Berggren et al (2006a),Berggren et al (2006a)
Acarinina sibaiyaensis,55.5,55.3,E1,E2,Wade,Aze,CK95,Berggren et al (2006a),Berggren et al (2006a)
Acarinina soldadoensis,56.4,46.4,P4c,E7b,Aze,Aze,CK95,Berggren et al (1999),Berggren et al (1999)
Acarinina strabocella,60.8,59.3,P3a,P4a,Aze,Aze,CK95,Berggren et al (1999),Berggren et al (1999)
Acarinina subsphaerica,59.4,54.2,P4a,E3,Aze,Aze,CK95,Berggren et al (1999),Berggren et al (1999)
Acarinina topilensis,43.2,40.3,E10,E12,Aze,Aze,CK95,Berggren et al (2006a),Berggren et al (2006a)
Acarinina wilcoxensis,55.7,50.9,P5,E5,Aze,Aze,CK95,Berggren et al (2006a),Berggren et al (2006a)
Alicantina lozanoi,52.33,42.76,E4,E10,Other95,Other95,CK95,Soldan et al (2018),Soldan et al (2018)
Alicantina prolata,54,44.4,E4,E8,Other95,Other95,CK95,Soldan et al (2018),Soldan et al (2018)
Astrorotalia palmerae,49.55,47.55,E7a,E7b,Aze,Aze,CK95,Berggren et al (2006b),Berggren et al (2006b)
Beella digitata,5,0,PL1,Extant,Aze,Extant,CK95,NEPTUNE,Kennett and Srinivasan (1983)
Beella megastoma,0.3,0,PT1b,Extant,Aze,Extant,CK95,Backstrom et al (2001),Backstrom et al (2001)
Beella praedigitata,12.4,0.8,M9b,PT1a,Aze,Aze,CK95,Chaisson and Pearson (1997),Chaisson and Pearson (1997)
Berggrenia pumilio,0,0,Extant,Extant,Pearson,Extant,CK95,,
Candeina nitida,8.43,0,M13b,Extant,GTS 2012,Extant,GTS2012,GTS (2012),
Candeina praenitida,8.7,6,M13a,M14,Mikrotax,Mikrotax,GTS2012,,
Cassigerinella chipolensis,33.89,10.89,O1,M11,GTS 2012,GTS 2012,GTS2012,GTS (2012),GTS (2012)
Cassigerinella eocaenica,38.6,13.22,E13,M9a,Pearson,Wade,CK95,Huber et al (2006),GTS (2012)
Cassigerinelloita amekiensis,49.98,45.00,E7a,E8,EA,EA,CK95,Huber et al (2006),Huber et al (2006)
Catapsydrax africanus,39,34.3,E13,E15,Aze,Aze,CK95,Olsson et al (2006a),Olsson et al (2006a)
Catapsydrax dissimilis,39,17.62,E13,M3,OA,OA,CK95,Wade stratigraphic range dates (2018),Wade stratigraphic range dates (2018)
Catapsydrax globiformis,40.4,34.3,E12,E15,Aze,Aze,CK95,Olsson et al (2006a),Olsson et al (2006a)
Catapsydrax howei,44.35,33.7,E9,E16,Aze,Aze,CK95,Olsson et al (2006a),Olsson et al (2006a)
Catapsydrax indianus,26.7,20.8,O6,M2,OA,OA,CK95,Coxall and Spezzaferri (2018),Coxall and Spezzaferri (2018)
Catapsydrax unicavus,55,10.2,E2,M12,Aze,OA,CK95,Olsson et al (2006c),Wade stratigraphic range dates (2018)
Chiloguembelina adriatica,33.8,27.7,E16,O5,OA,OA,CK95,,
Chiloguembelina andreae,33.9,30.2,E16,O2,OA,OA,CK95,,
Chiloguembelina crinita,59.40,44.25,P4a,E9,EA,EA,CK95,Huber et al (2006),Huber et al (2006)
Chiloguembelina cubensis,43.00,23.73,E10,O7,EA,EA,CK95,Huber et al (2006),Huber et al (2006)
Chiloguembelina midwayensis,64.82,55.80,Pa,P5,PA,PA,CK95,Olsson et al (1999),Olsson et al (1999)
Chiloguembelina morsei,64.94,62.53,Pa,P1c,PA,PA,CK95,Olsson et al (1999),Olsson et al (1999)
Chiloguembelina ototara,44.40,32.00,E9,O1,EA,OA,CK95,Huber et al (2006),Premec Fucek et al (2018)
Chiloguembelina parallela,54.50,53.60,E3,E4,EA,EA,CK95,Huber et al (2006),Huber et al (2006)
Chiloguembelina subtriangularis,62.22,59.82,P1c,P3b,PA,PA,CK95,Olsson et al (1999),Olsson et al (1999)
Chiloguembelina trinitatensis,55.90,54.20,P5,E3,EA,EA,CK95,Huber et al (2006),Huber et al (2006)
Chiloguembelina wilcoxensis,56.50,53.60,P4c,E4,EA,EA,CK95,Huber et al (2006),Huber et al (2006)
Ciperoella anguliofficinalis,34.9,15.5,E15,M5b,OA,OA,CK95,Olsson et al (2018),Wade stratigraphic range dates (2018)
Ciperoella angulisuturalis,29.4,21.6,O4,M2,OA,OA,CK95,Olsson et al (2018),Olsson et al (2018)
Ciperoella ciperoensis,30,23.68,O3,M1a,OA,OA,CK95,Olsson et al (2018),Olsson et al (2018)
Ciperoella fariasi,29.7,22.35,O3,M1b,OA,OA,CK95,Olsson et al (2018),Olsson et al (2018)
