"species","morphDes","spinose","Macro.micro","structure","aperture","latest","earliest","mph","mphRef","eco","ecoRef","geo","geoRef","log.area","Approximate.diameter","newEnd","N","MaxAbund","ALD","ALDse","VD","VDse","DepthHabitat","DepthHabitatVar","ref"
"Beella digitata","Medium to high trochospiral, chambers digitate","Spinose","Macroperforate","Irregularly cancellate","Interiomarginal umbilical-extraumbilical wide open arch bordered by a thick lip",0.112986,6.066101,5,"Kennett & Srinivasan (1983)",4,"Coxall et al. (2007)","Low to middle latitudes","Kennett & Srinivasan (1983)",11.5536630548807,182.083720583841,0,"1","0.11","150",NA,"75",NA,"Subsurface",NA,"Schiebel and Hemleben 2017"
"Beella megastoma","Trochospiral becoming streptospiral, chambers rounded to digitate","Spinose","Macroperforate","Irregularly cancellate","Interiomarginal umbilical-extraumbilical wide open symmetrical arch bordered by a thin lip",0.185043,9.642836,5,"Holmes (1984)",4,"This study","Low to middle latitudes","Holmes (1984)",10.3137032634029,97.9528939153771,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Berggrenia pumilio","Trochospiral, lobulate",NA,"Microperforate","Microperforate","Umbilicial-extraumbilical with a thin lip",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"13","6.87","137.61","66.07","77.57","39.11","Subsurface",NA,"Rebotim et al. 2017"
"Candeina nitida","Globular to hemispherical, relatively high trochospiral",NA,"Microperforate","Microperforate","Not visible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gallitellia vivans",NA,NA,"Microperforate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Globigerina bulloides","Low trochospiral, chambers spherical to subspherical","Spinose","Macroperforate","Hispid","Umbilical high symmetrical arch",0,56.599841,2,"Kennett & Srinivasan (1983)",2,"Vergnaud-Grazzini (1976); Durazzi (1981).","Middle latitudes, rare in low latitudes","Kennett & Srinivasan (1983)",11.4935775090761,176.694775462474,0,"40","23.08","102.35","21.14","67.38","10.93","Surface.subsurface","Variable","Rebotim et al. 2017"
"Globigerina falconensis","Low trochospiral, slightly compressed, spherical chambers","Spinose","Macroperforate","Hispid","Interiomarginal umbilical elongate narrow arch",0.003513,23.849439,2,"Kennett & Srinivasan (1983)",1,"This study","High latitudes","Kennett & Srinivasan (1983)",10.9271778520584,133.116406611427,0,"21","26.94","92.92","27.01","57.67","21.46","Surface.subsurface","Variable","Rebotim et al. 2017"
"Globigerinella adamsi","Planispiral, final chambers distinctly clavate","Spinose","Macroperforate","Hispid","Equatorial arch",0.044568,1.159303,5,"Coxall et al. (2007)",4,"Coxall et al. (2007)",NA,"Coxall et al. (2007)",12.4389936383227,283.477250907808,0,NA,"2","125",NA,"75",NA,"Surface.subsurface",NA,"Watkins et al. 1996, Schiebel et al. 2004"
"Globigerinella calida","Low trochospiral, equatorial periphery strongly lobulate","Spinose","Macroperforate","Hispid","Umbilical-extraumbilical with a narrow lip",0,8.890054,2,"Kennett & Srinivasan (1983)",3,"This study","Low latitudes","Kennett & Srinivasan (1983)",12.5632192381693,301.643143957467,0,"27","9.48","73.33","10.55","47.6","11","Surface.subsurface","Variable","Rebotim et al. 2017"
"Globigerinella radians","nearly planispirally coiled highly evolute shells with typically five chambers in the last whorl. Chambers in the last whorl are radially elongated with rounded tips ","Spinose","Macroperforate","Hispid","equatorial, forming a high symmetrical arch",NA,NA,NA,"Weiner et al (2015)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
