"id","age_1000ka"
"teita",0
"teitb",1
"teitc",2
"teitd",3
"teite",4
"teitf",5
"teitg",6
"teith",7
"teiti",8
"teitj",9
"teitk",10
"teitl",11
"teitm",12
"teitn",13
"teito",14
"teitp",15
"teitq",16
"teitr",17
"teits",18
"teitt",19
"teitu",20
"teitv",21
"teitw",22
"teitx",23
"teity",24
"teitz",28
"teitA",32
"teitB",36
"teitC",40
"teitD",44
"teitE",48
"teitF",52
"teitG",56
"teitH",60
"teitI",64
"teitJ",68
"teitK",72
"teitL",76
"teitM",80
"teitN",84
"teitO",88
"teitP",92
"teitQ",96
"teitR",100
"teitS",104
"teitT",108
"teitU",112
"teitV",116
"teitW",120
"teitX",124
"teitY",128
"teitZ",132
"teit0",136
"teit1",140
"teit2",144
"teit3",148
"teit4",152
"teit5",156
"teit6",160
"teit7",164
"teit8",168
"teit9",172
"teiTa",176
"teiTb",180
"teiTc",184
"teiTd",188
"teiTe",192
"teiTf",196
"teiTg",200
"teiTh",204
"teiTi",208
"teiTj",212
"teiTk",216
"teiTl",220
"teiTm",224
"teiTn",228
"teiTo",232
"teiTp",236
"teiTq",240
"teiTr",244
"teiTs",248
"teiTt",252
"teiTu",256
"teiTv",260
"teiTw",264
"teiTx",268
"teiTy",272
"teiTz",276
"teiTA",280
"teiTB",284
"teiTC",288
"teiTD",292
"teiTE",296
"teiTF",300
"teiTG",304
"teiTH",308
"teiTI",312
"teiTJ",316
"teiTK",320
"teiTL",324
"teiTM",328
"teiTN",332
"teiTO",336
"teiTP",340
"teiTQ",344
"teiTR",348
"teiTS",352
"teiTT",356
"teiTU",360
"teiTV",364
"teiTW",368
"teiTX",372
"teiTY",376
"teiTZ",380
"teiT0",384
"teiT1",388
"teiT2",392
"teiT3",396
"teiT4",400
"teiT5",404
"teiT6",408
"teiT7",412
"teiT8",416
"teiT9",420
"teiua",424
"teiub",428
"teiuc",432
"teiud",436
"teiue",440
"teiuf",444
"teiug",448
"teiuh",452
"teiui",456
"teiuj",460
"teiuk",464
"teiul",468
"teium",472
"teiun",476
"teiuo",480
"teiup",484
"teiuq",488
"teiur",492
"teius",496
"teiut",500
"teiuu",504
"teiuv",508
"teiuw",512
"teiux",516
"teiuy",520
"teiuz",524
"teiuA",528
"teiuB",532
"teiuC",536
"teiuD",540
"teiuE",544
"teiuF",548
"teiuG",552
"teiuH",556
"teiuI",560
"teiuJ",564
"teiuK",568
"teiuL",572
"teiuM",576
"teiuN",580
"teiuO",584
"teiuP",588
"teiuQ",592
"teiuR",596
"teiuS",600
"teiuT",604
"teiuU",608
"teiuV",612
"teiuW",616
"teiuX",620
"teiuY",624
"teiuZ",628
"teiu0",632
"teiu1",636
"teiu2",640
"teiu3",644
"teiu4",648
"teiu5",652
"teiu6",656
"teiu7",660
"teiu8",664
"teiu9",668
"teiUa",672
"teiUb",676
"teiUc",680
"teiUd",684
"teiUe",688
"teiUf",692
"teiUg",696
"teiUh",700
"teiUi",704
"teiUj",708
"teiUk",712
"teiUl",716
"teiUm",720
"teiUn",724
"teiUo",728
"teiUp",732
"teiUq",736
"teiUr",740
"teiUs",744
"teiUt",748
"teiUu",752
"teiUv",756
"teiUw",760
"teiUx",764
"teiUy",768
"teiUz",772
"teiUA",776
"teiUB",780
"teiUC",784
"teiUD",788
"teiUE",792
"teiUF",796
"teiUG",800
